epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,4.227675309548011,1.2611962258815765,4.193019976982703,1.1139927689845746
1,4.008585673112136,1.066629782319069,3.9650790507976827,0.9679793027731088
2,4.248419945056622,1.0333867967128754,3.530038595199585,0.9680233781154339
3,3.8746362832876353,0.9365821331739426,4.022545704474816,0.9822608049099262
4,4.049374965521006,0.8989366292953491,3.8345642273242655,0.872580152291518
5,4.36812241260822,0.8596258610486984,3.350426050332876,0.8656905293464661
6,3.9107836209810696,0.963668704032898,4.086243042579064,0.8348357585760263
7,4.263362939541157,0.80306476354599,4.0240373611450195,0.7730065354934106
8,4.688275392238911,0.8180787563323975,4.123783441690298,0.8036708648388202
9,4.049814884479229,0.6778648346662521,4.166561456827017,0.8049276516987727
