epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,298.80535888671875,0.4296875,tensor(1.0926),303.7125244140625,0.5234375,tensor(1.0813)
1,298.3250427246094,0.6152344,tensor(1.0828),301.5158996582031,0.6845703125,tensor(1.0816)
2,296.2575378417969,0.7763672,tensor(1.0780),301.29327392578125,0.8447265625,tensor(1.0718)
3,299.224609375,0.87402344,tensor(1.1019),321.1302490234375,0.8779296875,tensor(1.1182)
4,341.532958984375,0.92089844,tensor(1.0899),364.8587951660156,0.9150390625,tensor(1.0923)
5,367.16162109375,0.9394531,tensor(1.0800),374.7176208496094,0.9130859375,tensor(1.0791)
6,369.6248474121094,0.9355469,tensor(1.0666),368.3115234375,0.939453125,tensor(1.0546)
7,374.06231689453125,0.94921875,tensor(1.0258),389.9705810546875,0.9326171875,tensor(1.0265)
8,391.4719543457031,0.9550781,tensor(1.0180),405.1036682128906,0.9443359375,tensor(1.0045)
9,399.31640625,0.9482422,tensor(1.0158),398.85162353515625,0.947265625,tensor(1.0099)
10,388.89312744140625,0.96191406,tensor(1.0058),380.4026184082031,0.9443359375,tensor(1.0189)
11,374.754638671875,0.9667969,tensor(1.0028),368.1150207519531,0.9384765625,tensor(0.9919)
12,361.9449157714844,0.9658203,tensor(0.9838),364.97052001953125,0.9482421875,tensor(0.9851)
13,366.8453369140625,0.95703125,tensor(0.9869),375.7917785644531,0.9443359375,tensor(0.9789)
14,371.9902038574219,0.9658203,tensor(0.9690),382.952392578125,0.9521484375,tensor(0.9665)
15,389.0576477050781,0.97753906,tensor(0.9531),398.90789794921875,0.9453125,tensor(0.9625)
16,401.01220703125,0.9716797,tensor(0.9541),411.51141357421875,0.9501953125,tensor(0.9400)
17,411.29083251953125,0.96972656,tensor(0.9355),413.46136474609375,0.9638671875,tensor(0.9434)
18,411.9369201660156,0.9785156,tensor(0.9406),417.95379638671875,0.9619140625,tensor(0.9468)
19,414.1332702636719,0.98046875,tensor(0.9349),412.7306213378906,0.96875,tensor(0.9219)
20,409.5098571777344,0.9892578,tensor(0.9257),410.6431884765625,0.9716796875,tensor(0.9246)
21,408.0836181640625,0.99609375,tensor(0.9264),415.4781799316406,0.9677734375,tensor(0.9275)
22,403.5350341796875,0.9970703,tensor(0.9198),406.51043701171875,0.9755859375,tensor(0.9215)
23,397.93939208984375,0.9980469,tensor(0.9157),398.8257751464844,0.970703125,tensor(0.9231)
24,391.6648864746094,0.9951172,tensor(0.9120),390.5088195800781,0.9755859375,tensor(0.9211)
25,385.90277099609375,0.99902344,tensor(0.9149),385.6889343261719,0.9765625,tensor(0.9157)
26,377.91607666015625,1.0,tensor(0.9124),374.50726318359375,0.97265625,tensor(0.9095)
27,371.9237365722656,1.0,tensor(0.9112),377.88275146484375,0.9765625,tensor(0.9296)
28,371.3591613769531,1.0,tensor(0.9101),369.642333984375,0.9755859375,tensor(0.9070)
29,364.27130126953125,0.9980469,tensor(0.9031),363.2178039550781,0.9755859375,tensor(0.9132)
30,359.0800476074219,1.0,tensor(0.8987),364.547119140625,0.974609375,tensor(0.9027)
31,356.5825500488281,0.99902344,tensor(0.8971),356.77685546875,0.974609375,tensor(0.8992)
32,353.12603759765625,1.0,tensor(0.8929),355.6832580566406,0.974609375,tensor(0.9029)
33,348.7169189453125,1.0,tensor(0.8938),346.8409729003906,0.9755859375,tensor(0.8985)
34,341.357177734375,1.0,tensor(0.9006),343.4691467285156,0.9765625,tensor(0.8948)
35,334.72760009765625,1.0,tensor(0.8937),337.3766174316406,0.9765625,tensor(0.8983)
36,326.54296875,1.0,tensor(0.8918),328.84136962890625,0.9765625,tensor(0.9035)
37,320.71148681640625,1.0,tensor(0.8939),322.194580078125,0.9765625,tensor(0.8897)
38,317.3812255859375,0.9980469,tensor(0.8912),320.0447998046875,0.9765625,tensor(0.8936)
39,314.8173828125,1.0,tensor(0.8889),317.7616271972656,0.9765625,tensor(0.8865)
40,312.8865966796875,0.99902344,tensor(0.8844),316.64849853515625,0.970703125,tensor(0.9076)
41,313.1488952636719,1.0,tensor(0.8880),318.6128234863281,0.9765625,tensor(0.8709)
42,316.60198974609375,1.0,tensor(0.8885),328.9541320800781,0.974609375,tensor(0.9088)
43,325.27679443359375,0.99902344,tensor(0.8925),333.6861267089844,0.9765625,tensor(0.8964)
44,330.6515808105469,1.0,tensor(0.8998),336.6976013183594,0.9765625,tensor(0.8974)
45,334.25604248046875,0.99902344,tensor(0.8957),340.01116943359375,0.9736328125,tensor(0.9018)
46,338.42266845703125,1.0,tensor(0.8968),342.9420166015625,0.9736328125,tensor(0.8967)
47,340.011962890625,1.0,tensor(0.8926),345.6414794921875,0.9765625,tensor(0.8975)
48,343.2320861816406,1.0,tensor(0.8906),346.3595275878906,0.9736328125,tensor(0.8948)
49,346.3883361816406,1.0,tensor(0.8907),349.1998291015625,0.9765625,tensor(0.8827)
