epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,297.2825927734375,0.40625,tensor(1.0951),303.9046630859375,0.388671875,tensor(1.0976)
1,297.44781494140625,0.38020834,tensor(1.0975),302.35626220703125,0.416015625,tensor(1.0892)
2,292.556396484375,0.359375,tensor(1.0888),297.37945556640625,0.337890625,tensor(1.0733)
3,295.18243408203125,0.36458334,tensor(1.0534),304.0477294921875,0.294921875,tensor(1.0513)
4,305.111083984375,0.31770834,tensor(1.0124),316.1020812988281,0.2724609375,tensor(1.0125)
5,310.47552490234375,0.265625,tensor(0.9978),311.8508605957031,0.251953125,tensor(0.9822)
6,311.0781555175781,0.24479167,tensor(0.9696),321.8787841796875,0.234375,tensor(0.9572)
7,316.6822204589844,0.234375,tensor(0.9545),326.82623291015625,0.2314453125,tensor(0.9397)
8,325.03948974609375,0.23958334,tensor(0.9543),331.42803955078125,0.22265625,tensor(0.9596)
9,328.0176086425781,0.22395834,tensor(0.9602),334.1681213378906,0.23828125,tensor(0.9758)
10,334.0309143066406,0.2604167,tensor(0.9683),339.907958984375,0.236328125,tensor(0.9636)
11,341.726806640625,0.25,tensor(0.9637),344.52410888671875,0.2470703125,tensor(0.9552)
12,342.8511657714844,0.265625,tensor(0.9562),350.59124755859375,0.2666015625,tensor(0.9551)
13,351.3957824707031,0.27083334,tensor(0.9565),364.44842529296875,0.265625,tensor(0.9538)
14,359.2477111816406,0.265625,tensor(0.9503),364.71142578125,0.30859375,tensor(0.9523)
15,360.3035583496094,0.33333334,tensor(0.9472),360.9062194824219,0.2998046875,tensor(0.9406)
16,360.7334289550781,0.296875,tensor(0.9485),368.8593444824219,0.296875,tensor(0.9574)
17,357.93780517578125,0.328125,tensor(0.9434),359.48468017578125,0.279296875,tensor(0.9584)
18,355.14990234375,0.296875,tensor(0.9421),358.99273681640625,0.3076171875,tensor(0.9484)
19,355.00860595703125,0.3229167,tensor(0.9411),358.6316833496094,0.3193359375,tensor(0.9369)
20,351.1299133300781,0.3125,tensor(0.9406),356.1559143066406,0.3271484375,tensor(0.9424)
21,349.6087341308594,0.3854167,tensor(0.9420),352.32598876953125,0.3330078125,tensor(0.9545)
22,348.83441162109375,0.38020834,tensor(0.9434),355.0282897949219,0.353515625,tensor(0.9425)
23,348.2046813964844,0.359375,tensor(0.9361),350.86773681640625,0.3486328125,tensor(0.9411)
24,352.9288330078125,0.390625,tensor(0.9421),360.84747314453125,0.37109375,tensor(0.9425)
25,353.56964111328125,0.38020834,tensor(0.9450),360.6571960449219,0.4345703125,tensor(0.9584)
26,353.9385070800781,0.4635417,tensor(0.9461),359.6004333496094,0.45703125,tensor(0.9382)
27,356.06512451171875,0.48958334,tensor(0.9503),366.0446472167969,0.462890625,tensor(0.9549)
28,360.24859619140625,0.4791667,tensor(0.9544),366.1662902832031,0.5048828125,tensor(0.9615)
29,359.67413330078125,0.48958334,tensor(0.9563),365.7225341796875,0.513671875,tensor(0.9641)
30,361.2795715332031,0.5052084,tensor(0.9577),360.14947509765625,0.5390625,tensor(0.9539)
31,354.7694396972656,0.5260417,tensor(0.9560),357.0614013671875,0.5380859375,tensor(0.9677)
32,352.9363708496094,0.5729167,tensor(0.9552),361.3409423828125,0.5283203125,tensor(0.9613)
33,353.4190979003906,0.5572917,tensor(0.9577),356.6321105957031,0.529296875,tensor(0.9594)
34,351.9894104003906,0.53125,tensor(0.9634),359.5102233886719,0.5234375,tensor(0.9527)
35,353.53436279296875,0.6458334,tensor(0.9570),357.4129943847656,0.5556640625,tensor(0.9527)
36,354.6614074707031,0.5833334,tensor(0.9560),359.15740966796875,0.572265625,tensor(0.9548)
37,352.22308349609375,0.5677084,tensor(0.9583),358.2396545410156,0.5439453125,tensor(0.9611)
38,352.51519775390625,0.6041667,tensor(0.9587),358.0423583984375,0.5634765625,tensor(0.9608)
39,351.1706237792969,0.5364584,tensor(0.9607),353.6913757324219,0.5380859375,tensor(0.9573)
40,348.3677978515625,0.625,tensor(0.9569),351.5526428222656,0.5830078125,tensor(0.9670)
41,350.1826477050781,0.5885417,tensor(0.9548),353.84222412109375,0.55078125,tensor(0.9578)
42,348.61883544921875,0.5833334,tensor(0.9583),352.2056884765625,0.5634765625,tensor(0.9678)
43,349.835205078125,0.5833334,tensor(0.9595),350.7056579589844,0.560546875,tensor(0.9535)
44,349.94171142578125,0.6354167,tensor(0.9572),356.13751220703125,0.5595703125,tensor(0.9641)
45,351.3937683105469,0.6458334,tensor(0.9555),354.1952209472656,0.548828125,tensor(0.9605)
46,351.5327453613281,0.6145834,tensor(0.9552),353.854248046875,0.5966796875,tensor(0.9577)
47,352.3794250488281,0.5,tensor(0.9520),354.64752197265625,0.6044921875,tensor(0.9646)
48,350.32244873046875,0.6041667,tensor(0.9575),352.2096862792969,0.5732421875,tensor(0.9593)
49,348.4751892089844,0.546875,tensor(0.9510),353.5249938964844,0.59375,tensor(0.9512)
