epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,382.0559997558594,0.1,tensor(1.2623),378.6795654296875,0.2,tensor(0.8452)
1,364.0301208496094,0.2,tensor(1.1803),387.7414245605469,0.2,tensor(0.8690)
2,371.0469665527344,0.2,tensor(1.0492),436.9350891113281,0.2,tensor(0.8571)
3,382.8266906738281,0.2,tensor(1.2459),366.5039367675781,0.2,tensor(0.8690)
4,389.1406555175781,0.2,tensor(0.1475),379.27197265625,0.2,tensor(0.8571)
5,385.0182189941406,0.2,tensor(0.9836),388.3936462402344,0.2,tensor(0.8452)
6,350.35986328125,0.2,tensor(1.2623),408.0697326660156,0.2,tensor(0.8452)
7,388.500732421875,0.2,tensor(1.0820),397.4727783203125,0.2,tensor(0.8690)
8,370.6535339355469,0.2,tensor(1.4918),387.250244140625,0.2,tensor(0.8214)
9,346.24420166015625,0.2,tensor(1.6066),362.99981689453125,0.2,tensor(0.8452)
10,404.712890625,0.2,tensor(0.8361),385.4684753417969,0.3,tensor(0.8810)
11,398.0767517089844,0.2,tensor(0.8852),379.1479187011719,0.2,tensor(0.8690)
12,368.3208923339844,0.1,tensor(1.4098),378.4115295410156,0.2,tensor(0.8214)
13,408.06378173828125,0.1,tensor(1.1639),360.57830810546875,0.3,tensor(0.8095)
14,361.8656311035156,0.2,tensor(1.1967),401.2142333984375,0.2,tensor(0.8929)
15,362.8830871582031,0.1,tensor(0.6066),370.3200988769531,0.2,tensor(0.7976)
16,357.659423828125,0.2,tensor(1.2951),373.3298034667969,0.1,tensor(0.8333)
17,350.0619201660156,0.2,tensor(1.2459),377.9656982421875,0.2,tensor(0.8810)
18,418.5381164550781,0.2,tensor(1.0492),397.5107116699219,0.2,tensor(1.)
19,361.6369934082031,0.3,tensor(1.1148),388.8462829589844,0.2,tensor(0.8333)
20,375.1993713378906,0.3,tensor(1.4098),383.56243896484375,0.2,tensor(0.9762)
21,357.46795654296875,0.3,tensor(1.),388.8103332519531,0.3,tensor(0.8571)
22,395.240478515625,0.4,tensor(0.9016),366.1700439453125,0.3,tensor(0.8452)
23,372.78289794921875,0.4,tensor(0.3770),373.67486572265625,0.2,tensor(0.9048)
24,386.1655578613281,0.4,tensor(1.4426),373.0235900878906,0.3,tensor(0.8214)
25,404.5907287597656,0.3,tensor(1.3770),372.2934875488281,0.2,tensor(0.8810)
26,351.91015625,0.3,tensor(1.3279),359.6056213378906,0.3,tensor(0.9286)
27,373.5972900390625,0.3,tensor(1.1639),349.4423828125,0.3,tensor(0.8690)
28,362.06884765625,0.4,tensor(0.8852),374.6507263183594,0.2,tensor(0.8452)
29,349.4970397949219,0.4,tensor(0.8361),352.7162780761719,0.3,tensor(0.7857)
30,373.3116455078125,0.4,tensor(1.2295),360.94464111328125,0.3,tensor(0.8690)
31,355.8524475097656,0.3,tensor(1.2295),370.83514404296875,0.3,tensor(0.9286)
32,341.4820251464844,0.4,tensor(0.9508),358.1842956542969,0.3,tensor(0.9881)
33,343.9060363769531,0.4,tensor(1.1639),371.0253601074219,0.3,tensor(0.8452)
34,371.6815185546875,0.4,tensor(1.0820),347.9737243652344,0.3,tensor(0.8690)
35,397.5865783691406,0.4,tensor(1.0492),371.82354736328125,0.3,tensor(0.8571)
36,345.5322570800781,0.4,tensor(1.1475),391.0044250488281,0.3,tensor(0.8810)
37,390.66937255859375,0.3,tensor(1.1639),394.58673095703125,0.3,tensor(0.9048)
38,381.18365478515625,0.4,tensor(1.0984),372.77691650390625,0.3,tensor(0.8690)
39,365.49578857421875,0.4,tensor(1.1967),342.375,0.3,tensor(0.8810)
40,389.4699401855469,0.4,tensor(1.0984),366.6835632324219,0.3,tensor(0.8452)
41,382.8116455078125,0.4,tensor(1.0984),345.433349609375,0.3,tensor(0.8810)
42,356.06427001953125,0.4,tensor(0.9836),360.4351501464844,0.3,tensor(0.9048)
43,373.01739501953125,0.4,tensor(1.2295),371.6124267578125,0.3,tensor(0.9167)
44,404.78887939453125,0.4,tensor(1.3115),392.14776611328125,0.3,tensor(0.8571)
45,389.0748596191406,0.4,tensor(1.0492),351.3215637207031,0.3,tensor(0.8690)
46,367.9820556640625,0.4,tensor(1.1967),382.8079833984375,0.3,tensor(0.8214)
47,382.775390625,0.4,tensor(0.9836),404.1572570800781,0.3,tensor(0.8452)
48,415.5958251953125,0.4,tensor(1.0656),356.14288330078125,0.3,tensor(0.8571)
49,374.56170654296875,0.4,tensor(0.9016),381.7564392089844,0.3,tensor(0.8690)
